experiment_id,method,intervention,washout_batches,seed,panel_id,disagreement,accuracy_ab,accuracy_ba,signed_error_gap,absolute_error_gap,nll_gap,brier_gap,first_batch_max_logit_diff,n_scenarios
stage_a_uci_v2,sar_complete,parameters_optimizer,4,17,uci_internal_fixed,0.0009765625,0.8583984375,0.859375,0.0009765625,0.0009765625,-8.762015332635e-05,-1.48431672402638e-05,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,0,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,17,uci_internal_fixed,0.0,0.859375,0.859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,29,uci_internal_fixed,0.0,0.8447265625,0.8447265625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,sar_complete,parameters_optimizer_aux,4,43,uci_internal_fixed,0.0,0.880859375,0.880859375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,0,17,uci_internal_fixed,0.0,0.8681640625,0.8681640625,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,0,29,uci_internal_fixed,0.0,0.84375,0.84375,0.0,0.0,0.0,0.0,0.0,2
stage_a_uci_v2,source,all,0,43,uci_internal_fixed,0.0,0.73046875,0.73046875,0.0,0.0,0.0,0.0,0.0,2
