experiment_id,seed,panel_id,scenario,washout_batches,direction,method,intervention,accuracy_change,nll_change,brier_change,ece15_change,error_change
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,parameters_optimizer,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,aux,0.001953125,-0.000985261046646424,-0.00028570355231338773,-0.0019008241193324837,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,aux,0.001953125,-0.0006690350600536688,-0.0002045548556467991,-0.0019061631218397768,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,parameters_aux,0.001953125,-0.000985261046646424,-0.00028570355231338773,-0.0019008241193324837,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,parameters_aux,0.001953125,-0.0006690350600536688,-0.0002045548556467991,-0.0019061631218397768,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,optimizer_aux,0.001953125,-0.000985261046646424,-0.00028570355231338773,-0.0019008241193324837,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,optimizer_aux,0.001953125,-0.0006690350600536688,-0.0002045548556467991,-0.0019061631218397768,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,parameters_optimizer_aux,0.001953125,-0.000985261046646424,-0.00028570355231338773,-0.0019008241193324837,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,parameters_optimizer_aux,0.001953125,-0.0006690350600536688,-0.0002045548556467991,-0.0019061631218397768,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,all,0.001953125,-0.000985261046646424,-0.00028570355231338773,-0.0019008241193324837,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,all,0.001953125,-0.0006690350600536688,-0.0002045548556467991,-0.0019061631218397768,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,sar_complete,parameters,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,sar_complete,parameters,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,sar_complete,optimizer,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,sar_complete,optimizer,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,sar_complete,parameters_optimizer,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,sar_complete,parameters_optimizer,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,sar_complete,aux,0.001953125,-0.00012829462715746587,-6.583826751987987e-05,-0.0019259250892503799,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,sar_complete,aux,0.0,-0.00030353493381019003,-9.552460200046298e-05,1.5139507333311597e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,sar_complete,parameters_aux,0.001953125,-0.00012829462715746587,-6.583826751987987e-05,-0.0019259250892503799,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,sar_complete,parameters_aux,0.0,-0.00030353493381019003,-9.552460200046298e-05,1.5139507333311597e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,sar_complete,optimizer_aux,0.001953125,-0.00012829462715746587,-6.583826751987987e-05,-0.0019259250892503799,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,sar_complete,optimizer_aux,0.0,-0.00030353493381019003,-9.552460200046298e-05,1.5139507333311597e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,sar_complete,parameters_optimizer_aux,0.001953125,-0.00012829462715746587,-6.583826751987987e-05,-0.0019259250892503799,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,sar_complete,parameters_optimizer_aux,0.0,-0.00030353493381019003,-9.552460200046298e-05,1.5139507333311597e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,sar_complete,all,0.001953125,-0.00012829462715746587,-6.583826751987987e-05,-0.0019259250892503799,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,sar_complete,all,0.0,-0.00030353493381019003,-9.552460200046298e-05,1.5139507333311597e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,source,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,source,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,source,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,source,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,norm,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,norm,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,norm,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,norm,all,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,tent,parameters,0.0,-0.00011038468832619969,-5.429130465340118e-05,-1.9794133839399694e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,tent,parameters,0.0,-9.405694645950313e-05,-4.7911412243899915e-05,-2.0351979450199814e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,tent,optimizer,0.0,-3.201681112929844e-05,-1.7529343023098276e-05,-4.7207081441003745e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,tent,optimizer,0.0,-4.466297684049825e-05,-2.1467701855699267e-05,-4.8428863451011744e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,tent,parameters_optimizer,0.0,-0.00014213634963250454,-7.194429766900143e-05,-2.496095042889973e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,tent,parameters_optimizer,0.0,-0.00013827729003520334,-6.935161208770219e-05,-2.557253400760004e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,tent,aux,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,tent,aux,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,tent,parameters_aux,0.0,-0.00011038468832619969,-5.429130465340118e-05,-1.9794133839399694e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,tent,parameters_aux,0.0,-9.405694645950313e-05,-4.7911412243899915e-05,-2.0351979450199814e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,tent,optimizer_aux,0.0,-3.201681112929844e-05,-1.7529343023098276e-05,-4.7207081441003745e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,tent,optimizer_aux,0.0,-4.466297684049825e-05,-2.1467701855699267e-05,-4.8428863451011744e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,tent,parameters_optimizer_aux,0.0,-0.00014213634963250454,-7.194429766900143e-05,-2.496095042889973e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,tent,parameters_optimizer_aux,0.0,-0.00013827729003520334,-6.935161208770219e-05,-2.557253400760004e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,tent,all,0.0,-0.00014213634963250454,-7.194429766900143e-05,-2.496095042889973e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,tent,all,0.0,-0.00013827729003520334,-6.935161208770219e-05,-2.557253400760004e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,tent,parameters,0.0,-0.00013569411743919596,-6.71269706583981e-05,-2.7597820518900085e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,tent,parameters,0.0,-0.00012529042850450284,-6.300033561870005e-05,-2.7988562994499602e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,tent,optimizer,0.0,-1.97988591542006e-05,-1.0113016995098867e-05,-4.669830062699679e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,tent,optimizer,0.0,-2.8031931604804994e-05,-1.2649843178700465e-05,-4.732699723699468e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,tent,parameters_optimizer,0.0,-0.00015541427189590118,-7.740197292590081e-05,-3.257189417999948e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,tent,parameters_optimizer,0.0,-0.00015315269099020618,-7.574095653380131e-05,-3.30169727917988e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,tent,aux,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,tent,aux,0.0,0.0,0.0,0.0,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,tent,parameters_aux,0.0,-0.00013569411743919596,-6.71269706583981e-05,-2.7597820518900085e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,tent,parameters_aux,0.0,-0.00012529042850450284,-6.300033561870005e-05,-2.7988562994499602e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,tent,optimizer_aux,0.0,-1.97988591542006e-05,-1.0113016995098867e-05,-4.669830062699679e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,tent,optimizer_aux,0.0,-2.8031931604804994e-05,-1.2649843178700465e-05,-4.732699723699468e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,tent,parameters_optimizer_aux,0.0,-0.00015541427189590118,-7.740197292590081e-05,-3.257189417999948e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,tent,parameters_optimizer_aux,0.0,-0.00015315269099020618,-7.574095653380131e-05,-3.30169727917988e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ab,tent,all,0.0,-0.00015541427189590118,-7.740197292590081e-05,-3.257189417999948e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,4,ba,tent,all,0.0,-0.00015315269099020618,-7.574095653380131e-05,-3.30169727917988e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,sar_complete,parameters,0.0,3.1146704501938682e-06,1.2729809055998798e-06,-2.529290307100654e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ba,sar_complete,parameters,0.0,2.7810349609996843e-06,1.252535205800015e-06,-2.151315656598665e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,blur_noise_to_clean,0,ab,sar_complete,optimizer,0.0,1.7522320094887078e-08,3.536420115080041e-11,-1.7497280900211076e-08,-0.0
