experiment_id,method,intervention,washout_batches,direction,panel_id,accuracy_change,error_change,nll_change,brier_change,ece15_change,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v2,sar_complete,optimizer,4,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.03774387506186472,-0.05867711627408139,0.0018887860635977693,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ab,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038187757456239,-0.05881609694691877,0.0019080438952181016,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,0,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.03818697919074202,-0.05881595969139786,0.0019072909482190832,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ab,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,optimizer_aux,4,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,parameters,0,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03799148062830334,-0.05870929844855327,0.002177428043642071,3,2,2
stage_a_uci_v2,sar_complete,parameters,0,ba,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03804254963023704,-0.05872248670901948,0.0021781785682487655,3,2,2
stage_a_uci_v2,sar_complete,parameters,4,ab,uci_internal_fixed,0.047200520833333336,-0.047200520833333336,-0.03777308177964017,-0.05868206399649482,0.0022122968296950513,3,2,2
stage_a_uci_v2,sar_complete,parameters,4,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.03774387506186472,-0.05867711627408139,0.0018887860635977693,3,2,2
stage_a_uci_v2,sar_complete,parameters_aux,0,ab,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,parameters_aux,0,ba,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
stage_a_uci_v2,sar_complete,parameters_aux,4,ab,uci_internal_fixed,0.047526041666666664,-0.047526041666666664,-0.038186730746273545,-0.05881585402265165,0.0019071049668720706,3,2,2
