experiment_id,seed,panel_id,scenario,washout_batches,direction,method,intervention,accuracy_change,nll_change,brier_change,ece15_change,error_change
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,optimizer_aux,0.005859375,-0.0016399832165656658,-0.0005872323518543721,-0.001055045168429719,-0.005859375
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,parameters_optimizer_aux,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,parameters_optimizer_aux,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ab,tent,all,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,4,ba,tent,all,0.001953125,-0.00044849891133602604,-0.00018016294014250311,-0.0018570636446527122,-0.001953125
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,none,0.0,0.00032415484956938023,6.112872063263053e-05,8.125643014084138e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,none,0.0,7.928862976624984e-06,-2.001997603395811e-05,1.3464645521377161e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,parameters,0.0,0.00032415484956938023,6.112872063263053e-05,8.125643014084138e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,parameters,0.0,7.928862976624984e-06,-2.001997603395811e-05,1.3464645521377161e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,optimizer,0.0,0.00032415484956938023,6.112872063263053e-05,8.125643014084138e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,optimizer,0.0,7.928862976624984e-06,-2.001997603395811e-05,1.3464645521377161e-05,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ab,sar_complete,parameters_optimizer,0.0,0.00032415484956938023,6.112872063263053e-05,8.125643014084138e-06,-0.0
stage_a_uci_v2,17,uci_internal_fixed,noise_brightness_to_blur,0,ba,sar_complete,parameters_optimizer,0.0,7.928862976624984e-06,-2.001997603395811e-05,1.3464645521377161e-05,-0.0
