experiment_id,seed,panel_id,scenario,method,intervention,washout_batches,n,disagreement,accuracy_ab,accuracy_ba,signed_error_gap,absolute_error_gap,nll_gap,brier_gap,first_batch_max_logit_diff
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,parameters_optimizer_aux,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,tent,all,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,none,0,512,0.0,0.982421875,0.982421875,0.0,0.0,-2.5838126437721654e-07,3.14573750832825e-08,0.0211029052734375
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,parameters,0,512,0.0,0.982421875,0.982421875,0.0,0.0,7.525422474063959e-08,5.1903074834575014e-08,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,optimizer,0,512,0.0,0.982421875,0.982421875,0.0,0.0,-3.6845998765272503e-07,-3.474993365282231e-08,0.0211029052734375
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,parameters_optimizer,0,512,0.0,0.982421875,0.982421875,0.0,0.0,-4.338200499526268e-08,-1.9380417701220232e-08,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,aux,0,512,0.0,0.982421875,0.982421875,0.0,0.0,-1.4778134779444563e-06,-6.134819882652742e-07,0.0211029052734375
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,parameters_aux,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,optimizer_aux,0,512,0.0,0.982421875,0.982421875,0.0,0.0,-1.4778134779444563e-06,-6.134819882652742e-07,0.0211029052734375
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,parameters_optimizer_aux,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,all,0,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,none,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,parameters,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,optimizer,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,parameters_optimizer,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,aux,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,parameters_aux,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,optimizer_aux,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,parameters_optimizer_aux,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,17,uci_internal_fixed,blur_noise_to_clean,sar_complete,all,4,512,0.0,0.982421875,0.982421875,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,source,none,0,512,0.0,0.70703125,0.70703125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,source,all,0,512,0.0,0.70703125,0.70703125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,source,none,4,512,0.0,0.70703125,0.70703125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,source,all,4,512,0.0,0.70703125,0.70703125,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,norm,none,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,norm,all,0,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,norm,none,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
stage_a_uci_v1,29,uci_internal_fixed,noise_brightness_to_blur,norm,all,4,512,0.0,0.708984375,0.708984375,0.0,0.0,0.0,0.0,0.0
