experiment_id,method,intervention,washout_batches,seed,panel_id,disagreement_change,absolute_error_gap_change,nll_gap_change,brier_gap_change,n_scenarios
stage_a_uci_v1,tent,parameters_aux,4,43,uci_internal_fixed,0.0,0.0,-0.00012602478905016367,-2.9473921255891364e-05,2
stage_a_uci_v1,tent,parameters_optimizer,0,17,uci_internal_fixed,-0.0009765625,-0.0009765625,2.2949739964178012e-05,1.3939091297097623e-05,2
stage_a_uci_v1,tent,parameters_optimizer,0,29,uci_internal_fixed,0.0,0.0,-1.7799686981245094e-05,2.633228041880667e-06,2
stage_a_uci_v1,tent,parameters_optimizer,0,43,uci_internal_fixed,0.0,0.0,-8.363321520383433e-05,-2.3278565454986494e-05,2
stage_a_uci_v1,tent,parameters_optimizer,4,17,uci_internal_fixed,0.0,0.0,1.6961185307570736e-05,9.55651940180366e-06,2
stage_a_uci_v1,tent,parameters_optimizer,4,29,uci_internal_fixed,0.0,0.0,-1.452539129353711e-05,6.623748391408613e-07,2
stage_a_uci_v1,tent,parameters_optimizer,4,43,uci_internal_fixed,0.0,0.0,-5.429369370337976e-05,-1.4982836645178674e-05,2
stage_a_uci_v1,tent,parameters_optimizer_aux,0,17,uci_internal_fixed,-0.0009765625,-0.0009765625,2.2949739964178012e-05,1.3939091297097623e-05,2
stage_a_uci_v1,tent,parameters_optimizer_aux,0,29,uci_internal_fixed,0.0,0.0,-1.7799686981245094e-05,2.633228041880667e-06,2
stage_a_uci_v1,tent,parameters_optimizer_aux,0,43,uci_internal_fixed,0.0,0.0,-8.363321520383433e-05,-2.3278565454986494e-05,2
stage_a_uci_v1,tent,parameters_optimizer_aux,4,17,uci_internal_fixed,0.0,0.0,1.6961185307570736e-05,9.55651940180366e-06,2
stage_a_uci_v1,tent,parameters_optimizer_aux,4,29,uci_internal_fixed,0.0,0.0,-1.452539129353711e-05,6.623748391408613e-07,2
stage_a_uci_v1,tent,parameters_optimizer_aux,4,43,uci_internal_fixed,0.0,0.0,-5.429369370337976e-05,-1.4982836645178674e-05,2
