experiment_id,method,intervention,washout_batches,direction,seed,panel_id,accuracy_change,error_change,nll_change,brier_change,ece15_change,n_scenarios
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,ab,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,ab,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,ba,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,ba,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,ab,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,ab,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0003305530985385219,-0.0001122874158403786,-0.0009463492381591998,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,ba,29,uci_internal_fixed,0.0,0.0,0.0009240869166181609,0.00013198217162138648,9.28945206515458e-05,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,ba,43,uci_internal_fixed,0.0,0.0,-0.0008977276777570875,-0.00029660514131535365,5.5488833282650585e-05,2
stage_a_uci_v1,source,all,0,ab,17,uci_internal_fixed,0.009765625,-0.009765625,-0.11033965324007958,-0.02428454792605335,-0.04026631714369,2
stage_a_uci_v1,source,all,0,ab,29,uci_internal_fixed,-0.0009765625,0.0009765625,-0.13126405739057143,-0.008926806187843006,-0.05380312839115661,2
stage_a_uci_v1,source,all,0,ab,43,uci_internal_fixed,-0.150390625,0.150390625,0.3558597090097942,0.20938200579631697,0.08755016475000539,2
stage_a_uci_v1,source,all,0,ba,17,uci_internal_fixed,0.009765625,-0.009765625,-0.11033965324007958,-0.02428454792605335,-0.04026631714369,2
stage_a_uci_v1,source,all,0,ba,29,uci_internal_fixed,-0.0009765625,0.0009765625,-0.13126405739057143,-0.008926806187843006,-0.05380312839115661,2
stage_a_uci_v1,source,all,0,ba,43,uci_internal_fixed,-0.150390625,0.150390625,0.3558597090097942,0.20938200579631697,0.08755016475000539,2
stage_a_uci_v1,source,all,4,ab,17,uci_internal_fixed,0.009765625,-0.009765625,-0.11033965324007958,-0.02428454792605335,-0.04026631714369,2
stage_a_uci_v1,source,all,4,ab,29,uci_internal_fixed,-0.0009765625,0.0009765625,-0.13126405739057143,-0.008926806187843006,-0.05380312839115661,2
stage_a_uci_v1,source,all,4,ab,43,uci_internal_fixed,-0.150390625,0.150390625,0.3558597090097942,0.20938200579631697,0.08755016475000539,2
stage_a_uci_v1,source,all,4,ba,17,uci_internal_fixed,0.009765625,-0.009765625,-0.11033965324007958,-0.02428454792605335,-0.04026631714369,2
stage_a_uci_v1,source,all,4,ba,29,uci_internal_fixed,-0.0009765625,0.0009765625,-0.13126405739057143,-0.008926806187843006,-0.05380312839115661,2
stage_a_uci_v1,source,all,4,ba,43,uci_internal_fixed,-0.150390625,0.150390625,0.3558597090097942,0.20938200579631697,0.08755016475000539,2
stage_a_uci_v1,source,none,0,ab,17,uci_internal_fixed,0.009765625,-0.009765625,-0.11033965324007958,-0.02428454792605335,-0.04026631714369,2
stage_a_uci_v1,source,none,0,ab,29,uci_internal_fixed,-0.0009765625,0.0009765625,-0.13126405739057143,-0.008926806187843006,-0.05380312839115661,2
stage_a_uci_v1,source,none,0,ab,43,uci_internal_fixed,-0.150390625,0.150390625,0.3558597090097942,0.20938200579631697,0.08755016475000539,2
stage_a_uci_v1,source,none,0,ba,17,uci_internal_fixed,0.009765625,-0.009765625,-0.11033965324007958,-0.02428454792605335,-0.04026631714369,2
stage_a_uci_v1,source,none,0,ba,29,uci_internal_fixed,-0.0009765625,0.0009765625,-0.13126405739057143,-0.008926806187843006,-0.05380312839115661,2
stage_a_uci_v1,source,none,0,ba,43,uci_internal_fixed,-0.150390625,0.150390625,0.3558597090097942,0.20938200579631697,0.08755016475000539,2
stage_a_uci_v1,source,none,4,ab,17,uci_internal_fixed,0.009765625,-0.009765625,-0.11033965324007958,-0.02428454792605335,-0.04026631714369,2
stage_a_uci_v1,source,none,4,ab,29,uci_internal_fixed,-0.0009765625,0.0009765625,-0.13126405739057143,-0.008926806187843006,-0.05380312839115661,2
stage_a_uci_v1,source,none,4,ab,43,uci_internal_fixed,-0.150390625,0.150390625,0.3558597090097942,0.20938200579631697,0.08755016475000539,2
stage_a_uci_v1,source,none,4,ba,17,uci_internal_fixed,0.009765625,-0.009765625,-0.11033965324007958,-0.02428454792605335,-0.04026631714369,2
stage_a_uci_v1,source,none,4,ba,29,uci_internal_fixed,-0.0009765625,0.0009765625,-0.13126405739057143,-0.008926806187843006,-0.05380312839115661,2
stage_a_uci_v1,source,none,4,ba,43,uci_internal_fixed,-0.150390625,0.150390625,0.3558597090097942,0.20938200579631697,0.08755016475000539,2
stage_a_uci_v1,tent,all,0,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.00022113557472566367,-8.894862440140226e-05,-0.000929433221129556,2
stage_a_uci_v1,tent,all,0,ab,29,uci_internal_fixed,0.0,0.0,0.0020559640906235473,0.0003874845027150402,0.00013123358749319095,2
stage_a_uci_v1,tent,all,0,ab,43,uci_internal_fixed,0.0,0.0,-0.0007782698996987164,-0.00026368331167398243,5.305991080045182e-05,2
stage_a_uci_v1,tent,all,0,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.00022113557472566367,-8.894862440140226e-05,-0.000929433221129556,2
stage_a_uci_v1,tent,all,0,ba,29,uci_internal_fixed,0.0,0.0,0.0020559640906235473,0.0003874845027150402,0.00013123358749319095,2
stage_a_uci_v1,tent,all,0,ba,43,uci_internal_fixed,0.0,0.0,-0.0007782698996987164,-0.00026368331167398243,5.305991080045182e-05,2
stage_a_uci_v1,tent,all,4,ab,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.00022113557472566367,-8.894862440140226e-05,-0.000929433221129556,2
stage_a_uci_v1,tent,all,4,ab,29,uci_internal_fixed,0.0,0.0,0.0020559640906235473,0.0003874845027150402,0.00013123358749319095,2
stage_a_uci_v1,tent,all,4,ab,43,uci_internal_fixed,0.0,0.0,-0.0007782698996987164,-0.00026368331167398243,5.305991080045182e-05,2
stage_a_uci_v1,tent,all,4,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.00022113557472566367,-8.894862440140226e-05,-0.000929433221129556,2
stage_a_uci_v1,tent,all,4,ba,29,uci_internal_fixed,0.0,0.0,0.0020559640906235473,0.0003874845027150402,0.00013123358749319095,2
stage_a_uci_v1,tent,all,4,ba,43,uci_internal_fixed,0.0,0.0,-0.0007782698996987164,-0.00026368331167398243,5.305991080045182e-05,2
stage_a_uci_v1,tent,aux,0,ab,17,uci_internal_fixed,0.001953125,-0.001953125,-0.0007015234458344032,-0.0002502514856768945,-0.0013351237638290492,2
stage_a_uci_v1,tent,aux,0,ab,29,uci_internal_fixed,0.0,0.0,0.001516595067380791,0.0002466271206861357,0.0008160745924653406,2
stage_a_uci_v1,tent,aux,0,ab,43,uci_internal_fixed,0.0,0.0,-0.0004035608915953538,-0.00018314173710310376,0.0008141048239799029,2
stage_a_uci_v1,tent,aux,0,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0006785737058702529,-0.00023631239437977604,-0.0008579099624040059,2
stage_a_uci_v1,tent,aux,0,ba,29,uci_internal_fixed,0.0,0.0,0.0014987953803996534,0.00024926034872798514,0.0008112912775415414,2
stage_a_uci_v1,tent,aux,0,ba,43,uci_internal_fixed,0.0,0.0,-0.00048719410679919084,-0.00020642030255808505,0.0007954475965105063,2
stage_a_uci_v1,tent,aux,4,ab,17,uci_internal_fixed,0.0029296875,-0.0029296875,-0.0009201909610641358,-0.00033051111056383795,-0.0004800123312745496,2
stage_a_uci_v1,tent,aux,4,ab,29,uci_internal_fixed,0.0,0.0,0.004060545299995815,0.000787830212053843,-0.0005357662985245116,2
stage_a_uci_v1,tent,aux,4,ab,43,uci_internal_fixed,0.0,0.0,-0.0012753351946561166,-0.0004806422620476404,0.0008611423198219559,2
stage_a_uci_v1,tent,aux,4,ba,17,uci_internal_fixed,0.0029296875,-0.0029296875,-0.0009032297757565685,-0.00032095459116204643,-0.0004858350305824554,2
stage_a_uci_v1,tent,aux,4,ba,29,uci_internal_fixed,0.0,0.0,0.004046019908702195,0.0007884925868930481,-0.0005429228973980026,2
stage_a_uci_v1,tent,aux,4,ba,43,uci_internal_fixed,0.0,0.0,-0.0013296288883595103,-0.0004956250986927896,0.0008488887252941562,2
stage_a_uci_v1,tent,none,0,ab,17,uci_internal_fixed,0.001953125,-0.001953125,-0.0007015234458344032,-0.0002502514856768945,-0.0013351237638290492,2
stage_a_uci_v1,tent,none,0,ab,29,uci_internal_fixed,0.0,0.0,0.001516595067380791,0.0002466271206861357,0.0008160745924653406,2
stage_a_uci_v1,tent,none,0,ab,43,uci_internal_fixed,0.0,0.0,-0.0004035608915953538,-0.00018314173710310376,0.0008141048239799029,2
stage_a_uci_v1,tent,none,0,ba,17,uci_internal_fixed,0.0009765625,-0.0009765625,-0.0006785737058702529,-0.00023631239437977604,-0.0008579099624040059,2
stage_a_uci_v1,tent,none,0,ba,29,uci_internal_fixed,0.0,0.0,0.0014987953803996534,0.00024926034872798514,0.0008112912775415414,2
stage_a_uci_v1,tent,none,0,ba,43,uci_internal_fixed,0.0,0.0,-0.00048719410679919084,-0.00020642030255808505,0.0007954475965105063,2
stage_a_uci_v1,tent,none,4,ab,17,uci_internal_fixed,0.0029296875,-0.0029296875,-0.0009201909610641358,-0.00033051111056383795,-0.0004800123312745496,2
stage_a_uci_v1,tent,none,4,ab,29,uci_internal_fixed,0.0,0.0,0.004060545299995815,0.000787830212053843,-0.0005357662985245116,2
stage_a_uci_v1,tent,none,4,ab,43,uci_internal_fixed,0.0,0.0,-0.0012753351946561166,-0.0004806422620476404,0.0008611423198219559,2
stage_a_uci_v1,tent,none,4,ba,17,uci_internal_fixed,0.0029296875,-0.0029296875,-0.0009032297757565685,-0.00032095459116204643,-0.0004858350305824554,2
stage_a_uci_v1,tent,none,4,ba,29,uci_internal_fixed,0.0,0.0,0.004046019908702195,0.0007884925868930481,-0.0005429228973980026,2
