experiment_id,method,intervention,washout_batches,direction,panel_id,accuracy,nll,brier,ece15,seconds,updates,skipped,recoveries,n_seeds,n_scenarios_min,n_scenarios_max
stage_a_uci_v1,sar_complete,parameters_aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.16898921666628053,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,parameters_aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.18448610000147403,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,parameters_aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.19210725000205753,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,parameters_optimizer,0,ab,uci_internal_fixed,0.861328125,0.5138874008871673,0.21414441401160808,0.07925201419837379,0.20556454999799215,16.0,0.0,12.833333333333334,3,2,2
stage_a_uci_v1,sar_complete,parameters_optimizer,0,ba,uci_internal_fixed,0.861328125,0.5138363516579386,0.21413123763172395,0.07925275504696892,0.17768906666848727,16.0,0.0,12.333333333333334,3,2,2
stage_a_uci_v1,sar_complete,parameters_optimizer,4,ab,uci_internal_fixed,0.861328125,0.5141057965680674,0.21417164845120007,0.07928688614591352,0.15368929999870787,16.0,0.0,10.166666666666666,3,2,2
stage_a_uci_v1,sar_complete,parameters_optimizer,4,ba,uci_internal_fixed,0.8616536458333334,0.5141350032858429,0.2141765961736135,0.07896337537981624,0.16988631666754372,16.0,0.0,10.0,3,2,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.18242748333432243,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.3238442000001669,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,ab,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.20723699999992581,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,sar_complete,parameters_optimizer_aux,4,ba,uci_internal_fixed,0.8616536458333334,0.5136921476014341,0.21403785842504322,0.07898169428309054,0.24954144999598307,16.0,0.0,8.5,3,2,2
stage_a_uci_v1,source,all,0,ab,uci_internal_fixed,0.8141276041666666,0.5518788783477077,0.2728537124476949,0.07707458931621847,0.027325366667355383,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,source,all,0,ba,uci_internal_fixed,0.8141276041666666,0.5518788783477077,0.2728537124476949,0.07707458931621847,0.025738149995352868,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,source,all,4,ab,uci_internal_fixed,0.8141276041666666,0.5518788783477077,0.2728537124476949,0.07707458931621847,0.02805710000393442,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,source,all,4,ba,uci_internal_fixed,0.8141276041666666,0.5518788783477077,0.2728537124476949,0.07707458931621847,0.027334066665692533,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,source,none,0,ab,uci_internal_fixed,0.8141276041666666,0.5518788783477077,0.2728537124476949,0.07707458931621847,0.03958650000034439,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,source,none,0,ba,uci_internal_fixed,0.8141276041666666,0.5518788783477077,0.2728537124476949,0.07707458931621847,0.02711975000177815,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,source,none,4,ab,uci_internal_fixed,0.8141276041666666,0.5518788783477077,0.2728537124476949,0.07707458931621847,0.02657298332875745,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,source,none,4,ba,uci_internal_fixed,0.8141276041666666,0.5518788783477077,0.2728537124476949,0.07707458931621847,0.0270340666659952,0.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,all,0,ab,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.10044646666453137,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,all,0,ba,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.08827614999609062,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,all,4,ab,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.08065711667101515,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,all,4,ba,uci_internal_fixed,0.8616536458333334,0.5141457317600596,0.21414177940910126,0.07899930300355357,0.07911655000013218,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,aux,0,ab,uci_internal_fixed,0.8619791666666666,0.513930715797977,0.21406790651952343,0.07934603479537093,0.08398201667053697,16.0,0.0,0.0,3,2,2
stage_a_uci_v1,tent,aux,0,ba,uci_internal_fixed,0.8616536458333334,0.5139045547439033,0.2140656711041514,0.07949729254838155,0.08369866666907905,16.0,0.0,0.0,3,2,2
